id;product_name;product_category;green_water;blue_water;grey_water
1;Wheat (Durum wheat  Wheat and meslin);Wheat;1277;342;207
2;Wheat or meslin flour;;1292;347;210
3;Wheat bread;;1124;301;183
4;Dry pasta;;1292;347;210
5;Wheat groats and meal;;1423;382;231
6;Wheat pellets;;1423;382;231
7;Wheat  starch;;1004;269;163
8;Wheat gluten  whether or not dried;;2928;785;476
9;Rice in the husk (paddy or rough);Rice  paddy;1146;341;187
10;Rice  husked (brown);;1488;443;242
11;Rice  semi-milled or wholly milled  whether or not polished or glazed;;1653;492;269
12;Rice  broken;;1710;509;278
13;Rice flour;;1800;535;293
14;Rice groats and meal;;1527;454;249
15;Barley;Barley;1213;79;131
16;Barley  rolled or flaked grains;;1685;110;182
17;Barley hulled pearled sliced or kibbled;;1685;110;182
18;Malt  not roasted;;1662;108;180
19;Malt  roasted;;2078;135;225
20;Beer made from malt;;254;16;27
21;Maize (corn);Maize;947;81;194
22;Maize (corn);;947;81;194
23;Maize (corn) flour;;971;83;199
24;Maize (corn) groats and meal;;837;72;171
25;Maize (corn)  hulled  pearled  sliced or kibbled;;1018;87;209
26;Maize (corn) starch;;1295;111;265
27;Maize (corn) oil crude;;1956;168;400
28;Maize (corn) oil and its fractions refined but not chemically modified;;1996;171;409
29;Rye;Rye;1419;25;99
30;Rye flour;;1774;32;124
31;Oats;Oats;1479;181;128
32;Oat groats and meal;;2098;257;182
33;Oats  rolled or flaked grains;;1998;245;173
34;Oats  hulled pearled sliced or kibbled;;2026;248;175
35;Millet;Millet;4306;57;115
36;Grain sorghum;Sorghum;2857;103;87
37;Buckwheat;Buckwheat;2769;144;229
38;Quinoa;Quinoa;4184;48;280
39;Fonio;Fonio;4938;;13
40;Triticale;Triticale;826;38;89
41;Canary seed;Canary seed;4872;2;314
42;Mixed grain;Mixed grain;1598;33;28
43;Cereals unmilled;Cereals;3316;115;9
44;Cereal flour;;3468;121;9
45;Cereal groats and meal;;2896;101;8
46;Cereal pellets;;2896;101;8
47;Cereals  rolled or flaked grains;;3902;136;10
48;Cereals  hulled  pearled  sliced or kibbled;;3902;136;10
49;Germ of cereals  whole  rolled  flaked or ground;;2757;96;7
50;Potatoes  fresh or chilled;Potatoes;191;33;63
51;Tapioca of potatoes;;955;165;317
52;Potatoes  frozen;;382;66;127
53;Potato flour and meal;;955;165;317
54;Potato flakes;;694;120;230
55;Potato starch;;1005;173;333
56;Sweet potatoes  fresh or dried  whether or not sliced or pelleted;Sweet potatoes;324;5;53
57;Manioc (cassava)  fresh or dried  whether or not sliced or pelleted;Cassava;550;0;13
58;Tapioca of cassava;;2750;1;66
59;Flour of cassava;;1833;1;44
60;Dried cassava;;1571;1;38
61;Manioc (cassava) starch;;2200;1;53
62;Yautia (cocoyam);Yautia (cocoyam);849;22;11
63;Taro (coco yam);Taro (coco yam);587;3;15
64;Yams;Yams;341;0;1
65;Salad beetroot salsif celeriac radishsim edibl roots fresh/chilld;;348;15;22
66;Arrowroot salep etc fr o drid whether o not slicd o pelletdsago pith;;348;15;22
67;Roots and tubers;Roots and tubers;348;15;22
68;Flourmeal of sagoof roots or tubers with hi starch or inulin content;;1392;61;88
69;Sugar cane  fresh or dried  whether or not ground;Sugar cane;139;57;13
70;Raw sugar  cane;;1107;455;104
71;Refined sugar in solid form containg added flavourg or colourg matter;;1184;487;111
72;Refined sugar  in solid form;;1184;487;111
73;Maple sugar and maple syrup;;1184;487;111
74;Glucoseglucose syrup nt cntg fruct/cntg in dry state <20% by wt fruct;;1184;487;111
75;Glucose inc syrup cntg in dry state min 20% but <50% by wt of fructose;;1184;487;111
76;Fructose  chemically pure;;1184;487;111
77;Fructosefructose syrup cntg in dry state >50% by wght of fructose;;1184;487;111
78;Cane molasses;;350;144;33
79;Sugar beet  fresh or dried  whether or not ground;Sugar beet;82;26;25
80;Raw sugar  beet;;535;167;162
81;Molasses;;139;43;42
82;Sugar crops;Sugar crops;980;;94
83;Sugar  including invert sugar;;9795;;935
84;Beans small red (Adzuki) dried shelled whether or not skinned or split;Beans  dry;3945;125;983
85;Kidney beanswhite pea beans drid shelld whether o not skinnd o split;;3945;125;983
86;Beans dried  shelled  whether or not skinned or split;;3945;125;983
87;Flour and meal of the dried leguminous vegetables of heading No 07.13;;5479;173;1366
88;Broad beanshorse beans dried shelled whether or not skinned or split;Broad beans  horse beans  dry;1317;205;496
89;Peas dried  shelled  whether or not skinned or split;Peas  dry;1453;33;493
90;Chickpeas  dried  shelled  whether or not skinned or split;Chick peas;2972;224;981
91;Cow peas  dry;Cow peas  dry;6841;10;55
92;Pigeon peas;Pigeon peas;4739;72;683
93;Lentils dried  shelled  whether or not skinned or split;Lentils;4324;489;1060
94;Bambara beans;Bambara beans;3162;71;34
95;Vetches;Vetches;2031;109;213
96;Lupins;Lupins;1350;21;506
97;Urd mung black/green gram beans drid shelld whether/not skinnd/split;;2217;250;650
