ID,Product name,Product name short,Green water,Blue water,Grey water
1,Wheat (Durum wheat  Wheat and meslin),Wheat,1277,342,207
2,Wheat or meslin flour,null,1292,347,210
3,Wheat bread,null,1124,301,183
4,Dry pasta,null,1292,347,210
5,Wheat groats and meal,null,1423,382,231
6,Wheat pellets,null,1423,382,231
7,Wheat  starch,null,1004,269,163
8,Wheat gluten  whether or not dried,null,2928,785,476
9,Rice in the husk (paddy or rough),Rice  paddy,1146,341,187
10,Rice  husked (brown),null,1488,443,242
11,Rice  semi-milled or wholly milled  whether or not polished or glazed,null,1653,492,269
12,Rice  broken,null,1710,509,278
13,Rice flour,null,1800,535,293
14,Rice groats and meal,null,1527,454,249
15,Barley,Barley,1213,79,131
16,Barley  rolled or flaked grains,null,1685,110,182
17,Barley hulled pearled sliced or kibbled,null,1685,110,182
18,Malt  not roasted,null,1662,108,180
19,Malt  roasted,null,2078,135,225
20,Beer made from malt,null,254,16,27
21,Maize (corn),Maize,947,81,194
22,Maize (corn),null,947,81,194
23,Maize (corn) flour,null,971,83,199
24,Maize (corn) groats and meal,null,837,72,171
25,Maize (corn)  hulled  pearled  sliced or kibbled,null,1018,87,209
26,Maize (corn) starch,null,1295,111,265
27,Maize (corn) oil crude,null,1956,168,400
28,Maize (corn) oil and its fractions refined but not chemically modified,null,1996,171,409
29,Rye,Rye,1419,25,99
30,Rye flour,null,1774,32,124
31,Oats,Oats,1479,181,128
32,Oat groats and meal,null,2098,257,182
33,Oats  rolled or flaked grains,null,1998,245,173
34,Oats  hulled pearled sliced or kibbled,null,2026,248,175
35,Millet,Millet,4306,57,115
36,Grain sorghum,Sorghum,2857,103,87
37,Buckwheat,Buckwheat,2769,144,229
38,Quinoa,Quinoa,4184,48,280
39,Fonio,Fonio,4938,1,13
40,Triticale,Triticale,826,38,89
41,Canary seed,Canary seed,4872,2,314
42,Mixed grain,Mixed grain,1598,33,28
43,Cereals unmilled,Cereals,3316,115,9
44,Cereal flour,null,3468,121,9
45,Cereal groats and meal,null,2896,101,8
46,Cereal pellets,null,2896,101,8
47,Cereals  rolled or flaked grains,null,3902,136,10
48,Cereals  hulled  pearled  sliced or kibbled,null,3902,136,10
49,Germ of cereals  whole  rolled  flaked or ground,null,2757,96,7
50,Potatoes  fresh or chilled,Potatoes,191,33,63
51,Tapioca of potatoes,null,955,165,317
52,Potatoes  frozen,null,382,66,127
53,Potato flour and meal,null,955,165,317
54,Potato flakes,null,694,120,230
55,Potato starch,null,1005,173,333
56,Sweet potatoes  fresh or dried  whether or not sliced or pelleted,Sweet potatoes,324,5,53
57,Manioc (cassava)  fresh or dried  whether or not sliced or pelleted,Cassava,550,0,13
58,Tapioca of cassava,null,2750,1,66
59,Flour of cassava,null,1833,1,44
60,Dried cassava,null,1571,1,38
61,Manioc (cassava) starch,null,2200,1,53
62,Yautia (cocoyam),Yautia (cocoyam),849,22,11
63,Taro (coco yam),Taro (coco yam),587,3,15
64,Yams,Yams,341,0,1
